1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
116,714,3050,2149,364,3902,2082,2430,4652,2072,774,4015,3428,1599,264,683,0,0,0,0,0,0
113,691,3019,2140,357,3910,2097,2439,4780,2071,753,3995,3399,1610,260,679,0,0,0,0,0,0
110,707,3041,2125,361,3928,2124,2487,4875,2116,756,3936,3370,1638,256,682,0,0,0,0,0,0
110,687,3011,2113,352,3916,2158,2473,4884,2099,726,3890,3343,1621,257,671,0,0,0,0,0,0
110,680,3016,2110,348,3928,2193,2479,4929,2079,736,3890,3361,1631,255,667,0,0,0,0,0,0
114,698,3081,2128,361,3975,2211,2547,4987,2145,750,3939,3373,1654,263,676,0,0,0,0,0,0
123,744,3175,2187,369,4106,2218,2619,5084,2221,792,4064,3454,1686,281,684,0,0,0,0,0,0
129,789,3397,2276,396,4282,2303,2791,5302,2390,858,4265,3559,1735,304,699,0,0,0,0,0,0
143,843,3584,2381,412,4410,2352,2913,5514,2495,899,4383,3626,1763,316,707,0,0,0,0,0,0
143,840,3651,2388,417,4431,2369,2929,5552,2527,918,4444,3653,1778,329,719,0,0,0,0,0,0
135,817,3538,2335,410,4336,2322,2812,5336,2391,900,4361,3609,1724,307,710,0,0,0,0,0,0
126,730,3269,2239,386,4067,2169,2588,4906,2172,828,4135,3471,1639,274,684,0,0,0,0,0,0
111,635,2927,2072,340,3737,1996,2284,4365,1894,725,3808,3305,1533,238,656,0,0,0,0,0,0
92,563,2674,1966,317,3477,1857,2068,3984,1712,668,3551,3159,1452,208,623,0,0,0,0,0,0
86,535,2597,1926,305,3406,1803,1990,3868,1624,636,3465,3112,1431,200,614,0,0,0,0,0,0
83,529,2558,1913,302,3379,1785,1971,3840,1590,622,3435,3100,1427,198,612,0,0,0,0,0,0
83,527,2549,1911,301,3371,1780,1965,3828,1584,625,3414,3091,1423,194,609,0,0,0,0,0,0
83,535,2555,1915,302,3376,1779,1969,3843,1582,625,3425,3088,1425,195,614,0,0,0,0,0,0
85,546,2591,1931,305,3404,1790,1993,3892,1611,625,3459,3103,1434,202,613,0,0,0,0,0,0
90,571,2677,1969,313,3476,1840,2055,4019,1688,654,3529,3142,1460,212,622,0,0,0,0,0,0
102,633,2861,2050,344,3650,1930,2207,4290,1853,713,3720,3257,1534,234,643,0,0,0,0,0,0
107,673,3005,2121,355,3793,1996,2320,4478,1951,736,3835,3333,1576,246,658,0,0,0,0,0,0
118,704,3088,2151,363,3837,2054,2398,4557,2025,771,3951,3382,1601,255,676,0,0,0,0,0,0
118,728,3144,2168,357,3898,2098,2464,4666,2081,783,4012,3430,1629,260,675,0,0,0,0,0,0
117,717,3090,2167,367,3930,2143,2511,4777,2093,776,3996,3429,1641,264,681,0,0,0,0,0,0
110,700,3064,2128,366,4001,2148,2565,4894,2124,754,3966,3401,1671,259,673,0,0,0,0,0,0
108,709,3035,2138,366,4091,2152,2663,5096,2215,757,3922,3382,1700,265,677,0,0,0,0,0,0
104,691,2996,2108,374,4123,2177,2681,5159,2242,734,3869,3364,1733,266,678,0,0,0,0,0,0
102,667,2983,2128,371,4102,2148,2675,5146,2274,715,3844,3349,1743,271,679,0,0,0,0,0,0
106,676,3065,2144,371,4122,2189,2706,5133,2303,749,3938,3380,1752,280,684,0,0,0,0,0,0
123,718,3204,2181,379,4181,2227,2708,5177,2324,796,4045,3449,1766,284,691,0,0,0,0,0,0
128,797,3423,2269,401,4344,2285,2875,5445,2426,864,4211,3563,1778,303,709,0,0,0,0,0,0
131,837,3591,2349,412,4463,2354,2982,5659,2524,914,4375,3623,1808,320,714,0,0,0,0,0,0
140,857,3666,2385,421,4478,2368,2982,5685,2532,924,4426,3664,1809,319,718,0,0,0,0,0,0
133,797,3552,2337,413,4385,2291,2837,5433,2393,882,4335,3604,1755,305,705,0,0,0,0,0,0
130,743,3300,2234,390,4121,2141,2589,4982,2159,810,4094,3444,1650,271,676,0,0,0,0,0,0
108,645,2929,2067,347,3749,1987,2300,4435,1878,736,3782,3291,1528,233,644,0,0,0,0,0,0
91,549,2677,1955,316,3503,1843,2064,4044,1666,665,3524,3162,1466,203,625,0,0,0,0,0,0
87,532,2607,1911,304,3404,1801,1991,3898,1599,629,3444,3131,1428,195,614,0,0,0,0,0,0
83,525,2555,1898,296,3374,1787,1971,3833,1589,617,3415,3098,1422,194,608,0,0,0,0,0,0
82,518,2550,1891,295,3367,1786,1958,3807,1583,624,3415,3093,1420,194,609,0,0,0,0,0,0
83,520,2561,1891,295,3367,1788,1957,3803,1592,635,3419,3096,1424,195,612,0,0,0,0,0,0
84,533,2589,1905,299,3392,1795,1977,3833,1619,630,3439,3114,1437,201,615,0,0,0,0,0,0
88,558,2662,1945,310,3458,1846,2040,3945,1703,656,3521,3152,1460,209,626,0,0,0,0,0,0
95,619,2863,2029,325,3637,1949,2203,4233,1857,698,3684,3269,1515,233,642,0,0,0,0,0,0
102,668,3015,2088,344,3753,2028,2321,4446,1961,746,3869,3327,1549,251,659,0,0,0,0,0,0
109,685,3107,2132,364,3842,2051,2396,4594,2020,759,3926,3412,1579,260,675,0,0,0,0,0,0
113,726,3116,2161,368,3896,2065,2447,4713,2063,762,3985,3437,1604,257,678,0,0,0,0,0,0
113,712,3118,2139,367,3913,2111,2450,4770,2091,787,3980,3382,1628,257,670,0,0,0,0,0,0
108,699,3070,2121,366,3939,2149,2486,4898,2090,756,3954,3379,1617,256,664,0,0,0,0,0,0
108,685,3049,2140,380,3994,2203,2511,5058,2125,757,3923,3377,1639,254,669,0,0,0,0,0,0
113,675,2977,2104,381,3992,2220,2522,5096,2099,733,3849,3343,1641,254,663,0,0,0,0,0,0
106,669,2982,2108,376,3999,2260,2522,5088,2134,731,3844,3308,1661,248,662,0,0,0,0,0,0
111,686,3036,2146,366,4062,2320,2589,5195,2199,750,3920,3347,1692,261,667,0,0,0,0,0,0
121,723,3210,2176,387,4140,2309,2640,5240,2265,810,4042,3421,1712,277,686,0,0,0,0,0,0
128,791,3389,2275,399,4291,2354,2799,5428,2407,859,4226,3542,1762,299,702,0,0,0,0,0,0
138,848,3558,2345,414,4446,2399,2949,5604,2515,914,4377,3630,1802,320,713,0,0,0,0,0,0
142,854,3650,2380,418,4470,2377,2934,5627,2536,923,4397,3646,1796,319,714,0,0,0,0,0,0
130,820,3542,2335,411,4359,2297,2823,5398,2392,897,4326,3577,1730,304,698,0,0,0,0,0,0
120,736,3304,2216,378,4062,2162,2577,4939,2186,810,4118,3473,1643,276,679,0,0,0,0,0,0
106,654,2970,2088,349,3725,1977,2283,4381,1899,723,3793,3279,1524,235,648,0,0,0,0,0,0
91,567,2710,1976,311,3476,1843,2064,3981,1690,654,3564,3153,1464,207,623,0,0,0,0,0,0
86,530,2602,1935,303,3409,1798,1994,3853,1611,624,3474,3105,1430,201,618,0,0,0,0,0,0
84,522,2583,1923,298,3386,1778,1971,3805,1595,620,3452,3090,1422,197,615,0,0,0,0,0,0
84,517,2583,1917,302,3364,1776,1962,3788,1591,619,3444,3080,1419,194,614,0,0,0,0,0,0
85,516,2598,1917,312,3368,1778,1965,3788,1586,621,3457,3082,1422,194,617,0,0,0,0,0,0
87,534,2616,1935,302,3391,1794,1987,3822,1609,630,3487,3107,1431,199,618,0,0,0,0,0,0
89,554,2703,1974,316,3464,1846,2051,3954,1677,649,3560,3147,1460,207,629,0,0,0,0,0,0
99,608,2900,2060,339,3649,1921,2214,4252,1854,702,3744,3253,1516,231,648,0,0,0,0,0,0
104,653,3045,2129,358,3757,1996,2306,4415,1975,735,3885,3342,1552,244,664,0,0,0,0,0,0
111,709,3118,2174,363,3856,2051,2367,4551,2054,780,3964,3420,1588,255,670,0,0,0,0,0,0
115,711,3148,2147,360,3913,2082,2439,4680,2123,760,3974,3431,1611,267,672,0,0,0,0,0,0
106,714,3097,2145,359,3935,2128,2461,4787,2120,756,3981,3403,1631,271,671,0,0,0,0,0,0
108,706,3073,2135,354,3961,2173,2505,4935,2153,742,3942,3382,1656,266,676,0,0,0,0,0,0
112,689,3044,2139,365,3998,2194,2543,5060,2204,754,3926,3378,1675,268,669,0,0,0,0,0,0
108,674,3025,2100,361,4030,2199,2559,5171,2184,755,3886,3335,1692,256,662,0,0,0,0,0,0
